result,sampleDotCode,unitName,sampleTime,resultName,deviceName
0.68,ST010118,"<p>%(v/v)</p>
",2025-05-01 08:00:00,氧气,延炼12万吨/年乙苯/苯乙烯装置
20.18,ST010118,"<p>%(v/v)</p>
",2025-05-01 08:00:00,氮气,延炼12万吨/年乙苯/苯乙烯装置
2.09,ST010118,"<p>%(v/v)</p>
",2025-05-01 08:00:00,一氧化碳,延炼12万吨/年乙苯/苯乙烯装置
1.92,ST010118,"<p>%(v/v)</p>
",2025-05-01 08:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
18.59,ST010118,"<p>%(v/v)</p>
",2025-05-01 08:00:00,氢气,延炼12万吨/年乙苯/苯乙烯装置
29.32,ST010118,"<p>%(v/v)</p>
",2025-05-01 08:00:00,甲烷,延炼12万吨/年乙苯/苯乙烯装置
0.03,ST010118,"<p>%(v/v)</p>
",2025-05-01 08:00:00,丙烷,延炼12万吨/年乙苯/苯乙烯装置
0.06,ST010118,"<p>%(v/v)</p>
",2025-05-01 08:00:00,丙烯,延炼12万吨/年乙苯/苯乙烯装置
13.77,ST010118,"<p>%(v/v)</p>
",2025-05-01 08:00:00,乙烯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010118,"<p>%(v/v)</p>
",2025-05-01 08:00:00,碳四(合计),延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010118,"<p>%(v/v)</p>
",2025-05-01 08:00:00,异戊烷,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010118,"<p>%(v/v)</p>
",2025-05-01 08:00:00,正戊烷,延炼12万吨/年乙苯/苯乙烯装置
13.37,ST010118,"<p>%(v/v)</p>
",2025-05-01 08:00:00,乙烷,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010118,"<p>%(v/v)</p>
",2025-05-01 08:00:00,碳五(合计),延炼12万吨/年乙苯/苯乙烯装置
1.0,ST010118,<p>mg/kg</p>,2025-05-01 08:00:00,硫化氢,延炼12万吨/年乙苯/苯乙烯装置
1.0,ST010118,<p>mg/kg</p>,2025-05-02 08:00:00,硫化氢,延炼12万吨/年乙苯/苯乙烯装置
1.18,ST010118,"<p>%(v/v)</p>
",2025-05-02 08:00:00,氧气,延炼12万吨/年乙苯/苯乙烯装置
21.26,ST010118,"<p>%(v/v)</p>
",2025-05-02 08:00:00,氮气,延炼12万吨/年乙苯/苯乙烯装置
2.02,ST010118,"<p>%(v/v)</p>
",2025-05-02 08:00:00,一氧化碳,延炼12万吨/年乙苯/苯乙烯装置
2.02,ST010118,"<p>%(v/v)</p>
",2025-05-02 08:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
17.02,ST010118,"<p>%(v/v)</p>
",2025-05-02 08:00:00,氢气,延炼12万吨/年乙苯/苯乙烯装置
28.15,ST010118,"<p>%(v/v)</p>
",2025-05-02 08:00:00,甲烷,延炼12万吨/年乙苯/苯乙烯装置
0.04,ST010118,"<p>%(v/v)</p>
",2025-05-02 08:00:00,丙烷,延炼12万吨/年乙苯/苯乙烯装置
0.07,ST010118,"<p>%(v/v)</p>
",2025-05-02 08:00:00,丙烯,延炼12万吨/年乙苯/苯乙烯装置
13.72,ST010118,"<p>%(v/v)</p>
",2025-05-02 08:00:00,乙烯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010118,"<p>%(v/v)</p>
",2025-05-02 08:00:00,碳四(合计),延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010118,"<p>%(v/v)</p>
",2025-05-02 08:00:00,异戊烷,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010118,"<p>%(v/v)</p>
",2025-05-02 08:00:00,正戊烷,延炼12万吨/年乙苯/苯乙烯装置
14.52,ST010118,"<p>%(v/v)</p>
",2025-05-02 08:00:00,乙烷,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010118,"<p>%(v/v)</p>
",2025-05-02 08:00:00,碳五(合计),延炼12万吨/年乙苯/苯乙烯装置
1.0,ST010118,<p>mg/kg</p>,2025-05-03 08:00:00,硫化氢,延炼12万吨/年乙苯/苯乙烯装置
1.53,ST010118,"<p>%(v/v)</p>
",2025-05-03 08:00:00,氧气,延炼12万吨/年乙苯/苯乙烯装置
21.62,ST010118,"<p>%(v/v)</p>
",2025-05-03 08:00:00,氮气,延炼12万吨/年乙苯/苯乙烯装置
1.97,ST010118,"<p>%(v/v)</p>
",2025-05-03 08:00:00,一氧化碳,延炼12万吨/年乙苯/苯乙烯装置
1.74,ST010118,"<p>%(v/v)</p>
",2025-05-03 08:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
